OBJECTID,SampleID,Ename,ID_Number,Peviously_Marked,Marked_mussel,Status,Sex,Gravidity,Age,Length,Height,VoucherLocation,VoucherType,ZebrasAttached,Comments,Northing,Easting,Method,NumberLive,NUM5YEAR,NumZebrasAttached1,PerZebraCoverage1,Listed_old,Tolerant_old,Lampsilini_old,Juveniles_old,Over_15yrs_old,tribe_old
125,201009221446.000000000000000,Amblema plicata,,No,No,Sub-Fossil,,,,,,,,,,4743762.005300000309944,655328.003700000233948,Quantitative,0,0,,,0,1,0,0,0,Amblemini
126,201009221446.000000000000000,Megalonaias nervosa,,No,No,Sub-Fossil,,,,,,,,,,4743762.005300000309944,655328.003700000233948,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
127,201009221447.000000000000000,Amblema plicata,,No,No,Live,,,6,48,,,,No,,4743779.019700000062585,655337.978299999609590,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
128,201009221447.000000000000000,Amblema plicata,,No,No,Live,,,11,82,,,,No,,4743779.019700000062585,655337.978299999609590,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
129,201009221447.000000000000000,Amblema plicata,,No,No,Live,,,11,85,,,,No,,4743779.019700000062585,655337.978299999609590,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
130,201009221447.000000000000000,Amblema plicata,,No,No,Live,,,9,76,,,,No,,4743779.019700000062585,655337.978299999609590,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
131,201009221447.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743779.019700000062585,655337.978299999609590,Quantitative,0,0,,,0,1,0,0,0,Amblemini
132,201009221447.000000000000000,Pyganodon grandis,,No,No,Sub-Fossil,,,,,,,,,,4743779.019700000062585,655337.978299999609590,Quantitative,0,0,,,0,0,0,0,0,Anodontini
133,201009221447.000000000000000,Megalonaias nervosa,,No,No,Sub-Fossil,,,,,,,,,,4743779.019700000062585,655337.978299999609590,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
134,201009221448.000000000000000,Lampsilis cardium,,No,No,Live,Male,,,109,,,,No,Age not recorded,4743801.985899999737740,655319.015100000426173,Quantitative,1,0,0,0,0,0,1,0,0,Lampsilini
